rx,tx,len,type,rateMbps,rssi
23210a2220af,0a3204a11077,1544,8,2,57
0a3204a11077,23210a2220af,96,8,11,-48
deb109bed87b,0a3204a11077,1544,8,11,56
73dfb6185cb5,0a3204a11077,1544,8,12,55
0a3204a11077,deb109bed87b,108,8,48,-49
0a3204a11077,0c456dd3601d,108,8,9,-53
0a3204a11077,860378b2f4e6,96,8,9,-41
860378b2f4e6,0a3204a11077,90,8,5,56
36c209aed8db,0a3204a11077,96,8,18,57
0a3204a11077,96e6224fd415,108,8,18,-52
02a9718f10aa,0a3204a11077,1544,8,5,59
0a3204a11077,36c209aed8db,108,8,48,-52
b7cc04c1700c,0a3204a11077,1544,8,36,55
0a3204a11077,02a9718f10aa,108,8,2,-42
9fe4f2eb744e,0a3204a11077,90,8,12,56
0a3204a11077,9fe4f2eb744e,96,8,18,-44
7b376686c0e6,0a3204a11077,1544,8,11,57
0c456dd3601d,0a3204a11077,1544,8,18,41
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,b7cc04c1700c,108,8,48,-42
0a3204a11077,7b376686c0e6,128,8,9,-54
a369c90464f1,0a3204a11077,96,8,11,55
d10a78ddd830,0a3204a11077,90,8,11,55
0a3204a11077,73dfb6185cb5,108,8,12,-56
0a3204a11077,23210a2220af,96,8,9,-51
0a3204a11077,7b376686c0e6,128,8,6,-42
0a3204a11077,73dfb6185cb5,108,8,1,-56
0a3204a11077,73dfb6185cb5,96,8,24,-56
0a3204a11077,d10a78ddd830,537,8,6,-57
0a3204a11077,73dfb6185cb5,96,8,24,-56
0a3204a11077,46c40151b0fb,96,8,1,-54
ffffffffffff,0a3204a11077,86,8,11,-128
0a3204a11077,d10a78ddd830,537,8,6,-52
ffffffffffff,f0dbc89cb0b3,130,0,1,-48
0a3204a11077,d10a78ddd830,537,8,6,-51
0a3204a11077,96e6224fd415,108,8,18,-50
0a3204a11077,d10a78ddd830,537,8,11,-48
49dc042170bc,0a3204a11077,1544,8,2,55
0a3204a11077,96e6224fd415,108,8,2,-51
0a3204a11077,73dfb6185cb5,96,8,24,-60
0a3204a11077,73dfb6185cb5,96,8,24,-56
0a3204a11077,d10a78ddd830,537,8,11,-52
0a3204a11077,96e6224fd415,108,8,1,-50
d090b7277cb3,0a3204a11077,1544,8,18,53
0a3204a11077,d090b7277cb3,120,8,2,-61
0a3204a11077,a77008a22036,120,8,2,-52
a77008a22036,0a3204a11077,1544,8,11,53
93ea1453ecf8,0a3204a11077,1544,8,11,50
96e6224fd415,0a3204a11077,1544,8,11,50
0a3204a11077,93ea1453ecf8,108,8,9,-61
0a3204a11077,23210a2220af,96,8,18,-53
0a3204a11077,23210a2220af,96,8,12,-54
23210a2220af,0a3204a11077,1544,8,11,55
0a3204a11077,96e6224fd415,108,8,18,-52
0a3204a11077,96e6224fd415,108,8,18,-50
0a3204a11077,deb109bed87b,108,8,48,-51
0a3204a11077,96e6224fd415,108,8,18,-52
0a3204a11077,96e6224fd415,108,8,18,-52
deb109bed87b,0a3204a11077,1544,8,5,54
ffffffffffff,f0dbc89cb0b3,130,0,1,-49
0a3204a11077,8bc8280160dd,20,4,11,-55
0a3204a11077,8bc8280160dd,20,4,11,-56
0a3204a11077,8bc8280160dd,20,4,11,-54
0a3204a11077,8bc8280160dd,20,4,11,-55
0a3204a11077,36c209aed8db,28,8,48,-53
73dfb6185cb5,0a3204a11077,1544,8,5,57
0a3204a11077,860378b2f4e6,108,8,9,-43
ffffffffffff,0a3204a11077,153,0,0,0
860378b2f4e6,0a3204a11077,1544,8,5,55
ffffffffffff,f0dbc89cb0b3,130,0,1,-53
0a3204a11077,96e6224fd415,108,8,18,-54
0a3204a11077,96e6224fd415,108,8,2,-57
0a3204a11077,73dfb6185cb5,96,8,24,-59
0a3204a11077,73dfb6185cb5,96,8,12,-58
36c209aed8db,0a3204a11077,108,8,11,50
0a3204a11077,73dfb6185cb5,96,8,12,-62
ffffffffffff,0a3204a11077,193,8,11,-128
ffffffffffff,f0dbc89cb0b3,130,0,1,-50
0a3204a11077,8bc8280160dd,20,4,11,-53
02a9718f10aa,0a3204a11077,1544,8,2,55
0a3204a11077,860378b2f4e6,84,8,9,-42
b7cc04c1700c,0a3204a11077,1544,8,36,53
0a3204a11077,9fe4f2eb744e,96,8,18,-45
0a3204a11077,b7cc04c1700c,108,8,48,-41
ffffffffffff,fc79ea546019,82,8,1,-71
9fe4f2eb744e,0a3204a11077,90,8,11,52
0a3204a11077,7b376686c0e6,128,8,9,-54
0a3204a11077,7b376686c0e6,128,8,6,-45
7b376686c0e6,0a3204a11077,1544,8,11,54
0a3204a11077,73dfb6185cb5,96,8,12,-59
0a3204a11077,0c456dd3601d,108,8,9,-58
0a3204a11077,7b376686c0e6,128,8,5,-51
0c456dd3601d,0a3204a11077,1544,8,18,53
0a3204a11077,a369c90464f1,108,8,2,-56
a369c90464f1,0a3204a11077,283,8,11,53
d10a78ddd830,0a3204a11077,90,8,11,50
0a3204a11077,49dc042170bc,108,8,48,-56
49dc042170bc,0a3204a11077,1544,8,11,56
d090b7277cb3,0a3204a11077,1544,8,18,52
0a3204a11077,d090b7277cb3,120,8,2,-59
0a3204a11077,93ea1453ecf8,120,8,9,-61
93ea1453ecf8,0a3204a11077,1544,8,11,54
96e6224fd415,0a3204a11077,1544,8,11,53
0a3204a11077,23210a2220af,96,8,12,-55
0a3204a11077,96e6224fd415,108,8,18,-56
0a3204a11077,73dfb6185cb5,96,8,12,-62
0a3204a11077,73dfb6185cb5,96,8,24,-58
23210a2220af,0a3204a11077,1544,8,5,53
0a3204a11077,73dfb6185cb5,96,8,24,-60
0a3204a11077,deb109bed87b,108,8,48,-47
0a3204a11077,73dfb6185cb5,96,8,24,-59
ffffffffffff,fc79ea546019,91,0,1,-69
fc79ea546019,24040009208d,96,8,36,-79
0a3204a11077,96e6224fd415,108,8,18,-56
deb109bed87b,0a3204a11077,1544,8,1,49
0a3204a11077,73dfb6185cb5,96,8,24,-62
0a3204a11077,73dfb6185cb5,96,8,24,-56
73dfb6185cb5,0a3204a11077,104,8,11,53
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,96e6224fd415,108,8,18,-55
0a3204a11077,a77008a22036,108,8,2,-53
0a3204a11077,96e6224fd415,108,8,2,-56
0a3204a11077,73dfb6185cb5,96,8,24,-59
a77008a22036,0a3204a11077,1544,8,11,55
0a3204a11077,73dfb6185cb5,96,8,12,-58
fc79ea546019,24040009208d,28,8,1,-69
860378b2f4e6,0a3204a11077,96,8,11,55
